,Month_3,Month_8,Month_10,Month_12
Acinetobacter,0.00017154085271398422,0.004075394803871625,0.0023287970307837857,0.0001455498144239866
Actinobacillus,0.00048343331219395555,3.118924594799713e-05,0.000119558776133989,0.0027082661898177513
Campylobacter,0.0009980558703359082,0.0027446536434237476,0.00025991038289997607,0.0008681006788859201
Cellulosilyticum,1.0396415315999043e-05,0.0035867632840196695,0.007979248755029266,0.0
Clostridium,0.065253100730868,0.07455789243868714,0.13869337852308525,0.17377088379926603
Enterobacter,0.0009096863401499164,0.0006601723725659392,0.0009096863401499164,0.0
Enterococcus,0.00036907274371796603,0.0008369114329379231,0.005738821254431472,0.0012163805919718882
Escherichia-Shigella,0.1817501325542953,0.4367534074251198,0.44699387651137884,0.11147036501814175
Hafnia-Obesumbacterium,0.00021312651397798038,0.0012319752149458868,0.0010292451162839053,0.0
Klebsiella,8.317132252799234e-05,0.004693981515173569,0.0007953257716739268,0.0
Lactococcus,0.0003794691590339651,0.02126066932121804,0.0034931955461756786,6.757669955399378e-05
Ligilactobacillus,0.00020273009866198134,0.00025471217524197657,0.003737511306101656,0.0005042261428259536
Romboutsia,0.000467838689219957,0.0004990279351679541,0.0030981317641677153,6.757669955399378e-05
Streptococcus,0.6548078222628837,0.2850281223034298,0.2749332030315947,0.6471872498362564
Terrisporobacter,0.00024951396758397706,0.0011540021000758939,0.007469824404545313,0.004096187634503623
Turicibacter,0.06576252508135196,0.025455622901223662,0.015038414754592616,0.020356181188726126
Weissella,0.0012995519144998805,0.0013255429527898783,0.0032956636551716967,0.0005042261428259536
unclassified-Enterobacteriaceae,0.006352209758075415,0.10711946520839614,0.020584902325678108,0.0011695967230498925
unclassified-Pasteurellaceae,0.0027030679821597515,0.00012475698379198853,0.00039506378200796367,0.007137139114433344
Temperature,15.5,23.857142857142858,15.428571428571429,0.14285714285714285
Crude_Fat,2.090503328857143,2.1362177225714283,2.1060645885714284,2.1138551928571427
Crude_Protein,8.877440164142858,8.941676154428572,8.781641392571428,8.817601455285715
Crude_Fiber,37.83359051428572,37.311482749999996,37.79847428857143,37.78917427857142
Carbohydrate,2.7539489404285713,2.900975567857143,3.059927321714286,3.0002207848571425
