,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
Acinetobacter,8.302776056046869e-05,3.071646146363939e-05,0.0,0.0008804929320385664,0.0005019866412666269,0.0216312490689071,0.0014938803814005517,0.014606620536355931,0.001485782534685239,7.655561155667772e-05,0.0001251179925807429,0.0
Actinobacillus,0.0005866789443721313,0.0038400878756280265,0.0003778187891319686,0.0016804689279763456,0.00021442834965633854,1.3391422347605613e-05,0.0026578067562704447,0.0007973421926910299,0.0,0.0026360489261629968,0.0006502493616818192,0.0009237773965449093
Campylobacter,0.003923493075892959,0.001534604817551533,0.005831621949358357,0.00802275959730226,0.0029643394769221726,0.0027976806064081575,0.0007765115205227684,0.0024281638163364413,0.0034727174789862454,0.0006588447560938576,0.00798917434502902,0.0017295499724266695
Cellulosilyticum,0.0,0.00021943259817129324,0.0,0.0,0.0,0.003231796593222155,0.001211291892361641,0.00010222335803731152,0.0004646080151596133,0.0017351939149716918,4.168900005955571e-05,0.000627625103106189
Clostridium,0.13787605049533197,0.055848537040891974,0.08062378416386717,0.06651916699364281,0.12328869822035622,0.12435018404304052,0.09997312130750571,0.09438447533338674,0.21937530590448956,0.26277647180608477,0.36441636443564346,0.3667719600243708
Enterobacter,8.347059609135022e-05,0.0,0.0,0.0,3.589117794846027e-05,0.0004588641762038437,0.0005517737903852,0.010968008707489207,0.0,0.0,0.0,0.0
Enterococcus,0.0012749776071237172,0.00017871684634078233,9.740014226702146e-05,0.00016686949616463565,5.178985747431223e-06,0.00024162215916454993,0.0006998144819700838,0.0021498363957390973,0.010048337396595037,0.005439015730835629,0.0006135360143166567,0.0019335996799176765
Escherichia-Shigella,0.3987378088231148,0.3002072871348252,0.10676155516584995,0.24168115011600638,0.17816340566942462,0.32345239438153695,0.45808911520837764,0.5826239225689578,0.5852920413591773,0.5509563747705065,0.30523548637240966,0.2547467288400629
Hafnia-Obesumbacterium,0.0,0.0,6.729022273063724e-05,0.04974215190429225,0.0,2.699201036493198e-05,0.0,0.0007043120327236755,0.000785770412172298,5.619670891637419e-05,0.0,0.0
Klebsiella,9.182689609786706e-05,0.0,7.657163276244927e-05,0.0,5.613447779626246e-05,0.00028714059114070493,0.009947621230118336,0.018607928221799012,0.004363553194655088,0.0027533896732311017,0.00013698367658594832,0.00031632653061224486
Lactococcus,0.0,9.699420076778567e-05,3.062865310497971e-05,0.010969358219744178,0.0,0.00512037597977243,0.001273857390655827,0.003109596517424719,0.0013991883068127924,7.664009809932556e-05,9.542066744430695e-05,0.0
Ligilactobacillus,0.0034696179016728964,0.0022722543854340233,0.0004799287638588987,0.0018248873542990028,0.0013912012977892933,0.023690287386115203,0.004189441577834715,0.008416694944777295,2.0460776691083194e-05,0.0,0.0,0.0001479591836734694
Romboutsia,6.121177046699017e-05,0.0,0.00013442458522260195,0.0034299105640785464,0.0013886226517345127,0.0002909800851575151,0.0002350871689252012,0.00019396215248091293,0.00012250335454627547,0.0,0.00011931180948290262,1.5318158144664686e-05
Streptococcus,0.38119432042727325,0.4770970150298729,0.6356580586161017,0.47299150366914194,0.565063928235624,0.4229152625670631,0.2945133850499405,0.09233893261744965,0.0734171761080618,0.11811498880372644,0.20127012762292365,0.3340974666042312
Terrisporobacter,0.0056277647659425875,0.0025973366979337256,0.0002142890078803885,0.001023589130205157,0.0,0.0006488044100801832,0.00020951058234571995,0.0017771779193568478,0.019158490647707506,0.02423773980350458,0.007915612573028061,0.013724643969692567
Turicibacter,0.0076029338220931246,0.04138109057260977,0.04139029296286572,0.026307018088912643,0.06701230996417977,0.014438023938402338,0.010678620709920721,0.006263158567537833,0.0055114242837134095,0.008102155908795221,0.008108934852787313,0.013298063707496205
Weissella,0.003854546028943734,0.04649430719681613,0.03574532994686982,0.02460033268138783,0.00150874966701633,0.00746527822948712,0.0653673750584983,0.01486840896798751,0.001302355970721295,0.0013423053651176406,0.009676065972467547,0.0008371388130805078
unclassified-Enterobacteriaceae,0.0,0.0029564666823121886,5.6244982691884875e-05,0.0018845609888355683,0.00031848105452024305,0.0061361764116312344,0.007118005112357633,0.08721327128765033,0.004598509697999231,0.0012153533867359351,7.158708568974158e-05,0.0
unclassified-Pasteurellaceae,0.004662779940463211,0.014405962161609687,0.0003070212946645892,0.006464240018117088,0.00025128541026914235,4.465721124647208e-06,0.0007346414247309255,0.016217477882347026,0.00013779392526238173,0.000683996642698473,1.7855229796807486e-05,0.0
