Sample,Age,Sex,Weight_kg,Temperature,Crude_Fat,Crude_Protein,Crude_Fiber,Carbohydrate,Panda,Month
DP1,6,雌,94,1.0,2.067541124,9.058094548,37.06899468,1.794440948,DP,12
DP2,4,雄,102,0.0,1.928649,8.7478722,39.5243136,2.1694803,DP,12
DP3,22,雄,105,-0.5,2.276898646,8.98743071,36.41088198,3.569264878,DP,12
DP4,28,雌,88,0.5,1.9406406,8.2322334,39.8670735,2.6091723,DP,12
DP5,8,雄,128,0.5,2.34849241,8.962193625,36.11932492,4.320906426,DP,12
DP6,8,雄,125,0.5,2.22916947,8.896577204,36.45400617,3.603336542,DP,12
DP7,6,雄,144,-1.0,2.0055951,8.8388085,39.0796251,2.9349441,DP,12
CP1,6,雌,100,16.0,2.040422274,8.97834536,37.21992935,1.612725409,CP,3
CP3,4,雄,112,15.0,1.9266504,8.7518694,39.5203164,2.178474,CP,3
CP4,22,雄,105,16.5,2.254118812,8.959165175,36.436194,3.566167454,CP,3
CP5,28,雌,86,15.0,2.276898646,8.98743071,36.41088198,3.569264878,CP,3
CP6,8,雄,124,14.5,2.22916947,8.896577204,36.45400617,3.603336542,CP,3
CP7,8,雄,125,16.5,1.9266504,8.7518694,39.5203164,2.178474,CP,3
CP9,6,雄,150,15.0,1.9796133,8.8168239,39.2734893,2.5692003,CP,3
XP1,6,雌,99,23.0,2.107677022,9.488134477,36.48494309,2.261119492,XP,8
XP4,4,雄,124,24.5,1.9016679,8.7148953,39.1735593,1.9166574,XP,8
XP5,22,雄,110,23.0,2.151067182,8.834998717,37.08961929,2.269379289,XP,8
XP6,28,雌,91,25.5,2.276898646,8.98743071,36.41088198,3.569264878,XP,8
XP7,8,雄,138,24.5,2.0665524,8.7468729,38.912742,3.5535108,XP,8
XP8,8,雄,127,23.5,2.172762262,8.831970267,36.69775161,3.167632238,XP,8
XP9,6,雄,149,23.0,2.276898646,8.98743071,36.41088198,3.569264878,XP,8
QP1,6,雌,98,15.0,2.22916947,8.896577204,36.45400617,3.603336542,QP,10
QP2,4,雄,124,15.5,1.9266504,8.7518694,39.5203164,2.178474,QP,10
QP3,22,雄,104,16.0,2.195542096,8.884463403,36.69118924,3.112911081,QP,10
QP5,28,雌,84,14.5,1.8866784,8.1612831,40.1428803,2.1644838,QP,10
QP6,8,雄,136,15.5,2.187948818,8.771401263,36.75025063,3.235775565,QP,10
QP7,8,雄,126,15.5,2.0015979,8.7428757,39.1175985,3.0658524,QP,10
QP8,6,雄,148,16.0,2.314865036,9.263019678,35.91307878,4.058657864,QP,10
