组别,GROUP2,#OTU ID,年龄,性别,体重（kg）,环境温度,粗脂肪%,粗蛋白%,粗纤维%,碳水化合物%,竹子
1,Jan,DD202001_4,5,雌,75.5,0.5,1.906,8.973,39.541,1.738,70（斤）
1,Jan,FX202001_3,3,雄,80,-1.5,1.93,8.754,39.552,2.171,80（斤）
1,Jan,GG202001_1,21,雄,110,-1.5,2.099,8.903,38.839,3.457,80（斤）
1,Jan,JN202001_2,27,雌,88,-1,1.942,8.238,39.895,2.611,80（斤）
1,Jan,MD202001_5,7,雄,123,-1,2.165,8.878,38.528,4.185,80（斤）
1,Jan,ME202001_6,7,雄,118,0.5,2.055,8.813,38.885,3.49,80（斤）
1,Jan,ML202001_7,5,雄,140,-0.5,2.007,8.845,39.107,2.937,80（斤）
,,,,,,,,,,,
2,Feb,DD202002_4,5,雌,81,1.5,1.92,8.992,39.463,1.863,70（斤）
2,Feb,FX202002_3,3,雄,85,1.5,1.927,8.753,39.531,2.224,80（斤）
2,Feb,GG202002_1,21,雄,108,2,2.122,8.934,38.813,3.464,80（斤）
2,Feb,JN202002_2,27,雌,87,2,1.804,8.053,40.641,1.379,80（斤）
2,Feb,MD202002_5,7,雄,121,2,2.155,8.865,38.542,4.182,80（斤）
2,Feb,ME202002_6,7,雄,116,2,2.055,8.813,38.885,3.49,80（斤）
2,Feb,ML202002_7,5,雄,145,1.5,2.005,8.849,39.12,2.903,80（斤）
,,,,,,,,,,,
3,Mar,DD202003_4,5,雌,86,15.5,1.881,8.894,39.702,1.562,80（斤）
3,Mar,FX202003_3,3,雄,89,15.5,1.928,8.758,39.548,2.18,80（斤）
3,Mar,GG202003_1,21,雄,108,16.5,2.078,8.875,38.866,3.454,80（斤）
3,Mar,JN202003_2,27,雌,86,15,1.86,8.131,40.311,1.941,80（斤）
3,Mar,MD202003_5,7,雄,123,15,2.185,8.906,38.505,4.189,80（斤）
3,Mar,ME202003_6,7,雄,114,15,2.055,8.813,38.885,3.49,80（斤）
3,Mar,ML202003_7,5,雄,145,15,1.981,8.823,39.301,2.571,80（斤）
,,,,,,,,,,,
4,Apr,DD202004_4,5,雌,90,16.5,1.894,8.908,39.645,1.65,80（斤）
4,Apr,FX202004_3,3,雄,97,16.5,1.928,8.755,39.566,2.137,80（斤）
4,Apr,GG202004_1,21,雄,114,16,2.076,8.858,38.914,3.37,80（斤）
4,Apr,JN202004_2,27,雌,83,16,1.888,8.167,40.171,2.166,80（斤）
4,Apr,ME202004_6,7,雄,119,17,2.055,8.813,38.885,3.49,80（斤）
4,Apr,ML202004_7,5,雄,149,16,1.927,8.66,39.621,2.233,80（斤）
,,,,,,,,,,,
5,May,DD202005_4,5,雌,96.5,22,1.972,9.702,38.545,2.337,50（斤）
5,May,FX202005_3,3,雄,101,23.5,1.928,8.755,39.566,2.137,80（斤）
5,May,GG202005_1,21,雄,116,22.5,2.076,8.858,38.914,3.37,80（斤）
5,May,JN202005_2,27,雌,81,21.5,1.878,8.697,39.977,1.364,80（斤）
5,May,MD202005_5,7,雄,133,20.5,2.031,8.706,39.135,3.239,80（斤）
5,May,ME202005_6,7,雄,130,22,2.055,8.813,38.885,3.49,80（斤）
5,May,ML202005_7,5,雄,150,24,1.907,8.406,40.071,1.791,80（斤）
,,,,,,,,,,,
6,Jun,DD202006_4,5,雌,102.5,29.5,1.947,9.538,38.791,2.159,50（斤）
6,Jun,FX202006_3,3,雄,102.5,29.5,1.903,8.721,39.201,1.918,80（斤）
6,Jun,GG202006_1,21,雄,116,29,1.999,8.746,39.25,2.859,80（斤）
6,Jun,JN202006_2,27,雌,69,29,1.865,8.871,39.792,1.417,60（斤）
6,Jun,MD202006_5,7,雄,134,29,2.068,8.753,38.94,3.556,80（斤）
6,Jun,ME202006_6,7,雄,124.5,29,2.003,8.749,39.145,3.068,80（斤）
6,Jun,ML202006_7,5,雄,149,29,1.854,8.564,40.039,1.521,80（斤）
,,,,,,,,,,,
7,Jul,DD202007_4,5,雌,101.5,29,1.946,9.539,38.796,2.151,50（斤）
7,Jul,FX202007_3,3,雄,102,29.5,1.903,8.721,39.201,1.918,80（斤）
7,Jul,GG202007_1,21,雄,112,27.5,2.02,8.774,39.223,2.865,80（斤）
7,Jul,JN202007_2,27,雌,86,27,1.931,8.232,39.864,2.712,60（斤）
7,Jul,MD202007_5,7,雄,135,27,2.068,8.753,38.94,3.556,80（斤）
7,Jul,ME202007_6,7,雄,127.5,29.5,2.003,8.749,39.145,3.068,80（斤）
7,Jul,ML202007_7,5,雄,145,29.5,1.892,8.334,40.056,1.987,80（斤）
,,,,,,,,,,,
8,Aug,DD202008_4,5,雌,99,24.5,1.943,9.399,38.918,2.19,50（斤）
8,Aug,FX202008_3,3,雄,103,24,1.903,8.721,39.201,1.918,80（斤）
8,Aug,GG202008_1,21,雄,110,22.5,1.983,8.752,39.563,2.198,80（斤）
8,Aug,JN202008_2,27,雌,91,25,1.868,8.149,40.186,2.196,60（斤）
8,Aug,MD202008_5,7,雄,134,26,2.068,8.753,38.94,3.556,80（斤）
8,Aug,ME202008_6,7,雄,126,23,2.003,8.749,39.145,3.068,80（斤）
8,Aug,ML202008_7,5,雄,143.5,22,1.901,8.628,39.83,1.84,80（斤）
,,,,,,,,,,,
9,Sep,DD201909_4,5,雌,70.5,21.5,1.863,8.574,40.061,1.47,50（斤）
9,Sep,FX201909_3,3,雄,65,21.5,1.929,8.79,39.455,2.309,60（斤）
9,Sep,GG201909_1,21,雄,104,21.5,1.864,8.601,39.968,1.676,80（斤）
9,Sep,JN201909_2,27,雌,83,20.5,1.835,8.515,40.254,1.175,70（斤）
9,Sep,MD201909_5,7,雄,119,21.5,2.011,8.671,39.291,2.917,80（斤）
9,Sep,ME201909_6,7,雄,115,21.5,1.946,8.69,39.337,2.807,80（斤）
9,Sep,ML201909_7,5,雄,126,22,2.056,9.081,38.691,3.317,50（斤）
,,,,,,,,,,,
10,Oct,DD201910_4,5,雌,65,14,1.876,8.162,40.139,2.27,60（斤）
10,Oct,FX201910_3,3,雄,68.5,14.5,1.962,8.785,39.35,2.522,60（斤）
10,Oct,GG201910_1,21,雄,105,15,2.024,8.801,39.138,3.015,80（斤）
10,Oct,JN201910_2,27,雌,84,14,1.888,8.167,40.171,2.166,80（斤）
10,Oct,MD201910_5,7,雄,117,15,2.017,8.689,39.201,3.134,80（斤）
10,Oct,ME201910_6,7,雄,113,15,2.003,8.749,39.145,3.068,80（斤）
10,Oct,ML201910_7,5,雄,126.5,14,2.134,9.176,38.308,3.931,50（斤）
,,,,,,,,,,,
11,Nov,FX201911_3,3,雄,72.5,2.5,1.962,8.794,39.324,2.58,60（斤）
11,Nov,GG201911_1,21,雄,101,3,1.953,8.561,39.682,2.373,80（斤）
11,Nov,JN201911_2,27,雌,86,3,1.954,8.256,39.826,2.719,80（斤）
11,Nov,MD201911_5,7,雄,118,3,2.044,8.72,39.069,3.346,80（斤）
11,Nov,ME201911_6,7,雄,114,3,2.055,8.813,38.885,3.49,80（斤）
11,Nov,ML201911_7,5,雄,129,-2.5,2.172,9.224,38.003,4.51,50（斤）
,,,,,,,,,,,
12,Dec,DD201912_4,5,雌,72,-4.5,1.787,8.672,40.271,0.812,70（斤）
12,Dec,FX201912_3,3,雄,77,-2.5,1.9,9.651,39.753,1.96,80（斤）
12,Dec,GG201912_1,21,雄,105,-3,2.052,8.845,38.994,3.242,80（斤）
12,Dec,JN201912_2,27,雌,89,-3,1.998,8.547,39.397,3.014,80（斤）
12,Dec,MD201912_5,7,雄,118,-3,2.068,8.753,38.94,3.556,80（斤）
12,Dec,ME201912_6,7,雄,113,-4,2.055,8.813,38.885,3.49,80（斤）
12,Dec,ML201912_7,5,雄,135.5,-4,2.007,8.845,39.107,2.937,80（斤）
