source,target,sign,weight
Enterococcus,Acinetobacter,1,0.000242906329917519
Hafnia-Obesumbacterium,Acinetobacter,-1,0.000196891388478667
Streptococcus,Acinetobacter,1,0.000662723317164436
Turicibacter,Acinetobacter,-1,0.000442398661659761
Weissella,Acinetobacter,1,0.00117824477681801
unclassified-Pasteurellaceae,Acinetobacter,1,0.00051489791950326
Romboutsia,Campylobacter,1,0.00124303278890175
Clostridium,Cellulosilyticum,1,0.000304449431446354
Ligilactobacillus,Cellulosilyticum,1,0.000802414911417756
Terrisporobacter,Cellulosilyticum,1,0.000359160117872785
Weissella,Cellulosilyticum,-1,0.000417399708625678
Enterobacter,Clostridium,1,0.0224655692098629
unclassified-Enterobacteriaceae,Clostridium,1,0.00833120396991023
Crude_Fat,Clostridium,1,0.00343712913702017
Crude_Protein,Clostridium,-1,0.0267543604872341
Hafnia-Obesumbacterium,Enterobacter,1,0.000663708880439703
Klebsiella,Enterobacter,1,0.000213815649955251
Romboutsia,Enterobacter,-1,0.00129517388084283
Terrisporobacter,Enterobacter,1,0.000165128960867171
Weissella,Enterobacter,-1,0.000434402985911494
Temperature,Enterobacter,1,0.000945465190407958
Carbohydrate,Enterobacter,1,0.000379876741990485
Acinetobacter,Enterococcus,1,0.00100822085268927
Cellulosilyticum,Escherichia-Shigella,1,0.0243064962629513
Temperature,Escherichia-Shigella,-1,0.018708274297016
Carbohydrate,Escherichia-Shigella,-1,0.00761139966562902
Romboutsia,Hafnia-Obesumbacterium,1,0.000250010606402479
Carbohydrate,Hafnia-Obesumbacterium,1,0.00214424556116467
Enterobacter,Klebsiella,-1,0.00427260586028021
unclassified-Enterobacteriaceae,Klebsiella,-1,0.00553154895004131
Actinobacillus,Lactococcus,1,0.000945824120010426
Campylobacter,Ligilactobacillus,-1,0.002633197025354
Enterococcus,Ligilactobacillus,1,0.00134400690958711
Escherichia-Shigella,Ligilactobacillus,1,0.00279829619376857
Streptococcus,Ligilactobacillus,-1,0.00121500017223534
unclassified-Pasteurellaceae,Ligilactobacillus,1,0.00121699841156488
Crude_Fat,Ligilactobacillus,1,0.00510936093050854
Lactococcus,Romboutsia,-1,0.000128353512318855
Temperature,Romboutsia,1,0.000304180677006682
Carbohydrate,Romboutsia,1,0.000796670640357132
Acinetobacter,Streptococcus,-1,0.0223002478220233
Temperature,Streptococcus,-1,0.00310757026266383
Carbohydrate,Streptococcus,1,0.00711129121185109
Acinetobacter,Terrisporobacter,1,3.27265910165356e-05
Temperature,Terrisporobacter,-1,0.000496691021836826
Crude_Fat,Terrisporobacter,-1,0.000776949975179644
Temperature,Turicibacter,-1,0.00247508868263467
Carbohydrate,Turicibacter,-1,0.00462901328940034
Enterobacter,Weissella,1,0.00265307985872834
unclassified-Enterobacteriaceae,Weissella,-1,0.00143185794203949
Crude_Fat,Weissella,1,0.00643683404038427
Crude_Fiber,Weissella,1,0.0100139359064373
Enterobacter,unclassified-Enterobacteriaceae,1,0.00259275885161426
Klebsiella,unclassified-Enterobacteriaceae,-1,0.0022309765085241
Crude_Fat,unclassified-Enterobacteriaceae,-1,0.00674661859190294
Crude_Protein,unclassified-Enterobacteriaceae,1,0.0085082786914593
Crude_Fiber,unclassified-Enterobacteriaceae,1,0.00417393099362281
Carbohydrate,unclassified-Enterobacteriaceae,-1,0.00627983046763681
Crude_Protein,unclassified-Pasteurellaceae,1,0.00220080080405699
